timestamp_iso,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
2026-05-09T13:03:30.141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2026-05-09T13:03:30.503,-0.0977,0.7351,0.3135,0.0641,-0.0202,0.0522,0.9964
2026-05-09T13:03:30.511,-0.0981,0.7350,0.3138,0.0637,-0.0203,0.0553,0.9962
2026-05-09T13:03:30.573,-0.0984,0.7348,0.3136,0.0648,-0.0215,0.0571,0.9960
2026-05-09T13:03:30.614,-0.0986,0.7343,0.3139,0.0662,-0.0145,0.0647,0.9956
2026-05-09T13:03:30.639,-0.0993,0.7341,0.3139,0.0660,-0.0192,0.0650,0.9955
2026-05-09T13:03:30.678,-0.0990,0.7341,0.3143,0.0679,-0.0181,0.0662,0.9953
2026-05-09T13:03:30.716,-0.0989,0.7344,0.3135,0.0641,-0.0204,0.0624,0.9958
2026-05-09T13:03:30.754,-0.0979,0.7350,0.3110,0.0493,-0.0148,0.0519,0.9973
2026-05-09T13:03:30.785,-0.0975,0.7346,0.3122,0.0612,-0.0158,0.0566,0.9964
2026-05-09T13:03:30.814,-0.0972,0.7343,0.3122,0.0612,-0.0138,0.0569,0.9964
2026-05-09T13:03:30.846,-0.0955,0.7340,0.3107,0.0607,-0.0052,0.0573,0.9965
2026-05-09T13:03:30.880,-0.0955,0.7339,0.3109,0.0616,-0.0066,0.0552,0.9965
2026-05-09T13:03:30.912,-0.0956,0.7342,0.3098,0.0571,-0.0095,0.0567,0.9967
2026-05-09T13:03:30.944,-0.0954,0.7343,0.3102,0.0593,-0.0087,0.0556,0.9967
2026-05-09T13:03:30.975,-0.0954,0.7345,0.3101,0.0582,-0.0085,0.0556,0.9967
2026-05-09T13:03:31.002,-0.0956,0.7346,0.3100,0.0561,-0.0097,0.0547,0.9969
2026-05-09T13:03:31.030,-0.0964,0.7346,0.3092,0.0527,-0.0145,0.0546,0.9970
2026-05-09T13:03:31.061,-0.0977,0.7349,0.3089,0.0462,-0.0204,0.0594,0.9970
2026-05-09T13:03:31.098,-0.0970,0.7347,0.3096,0.0517,-0.0166,0.0564,0.9969
2026-05-09T13:03:31.135,-0.0971,0.7348,0.3097,0.0521,-0.0159,0.0582,0.9968
2026-05-09T13:03:31.172,-0.0968,0.7350,0.3096,0.0523,-0.0103,0.0626,0.9966
2026-05-09T13:03:31.213,-0.0972,0.7345,0.3067,0.0369,-0.0236,0.0711,0.9965
2026-05-09T13:03:31.246,-0.0966,0.7351,0.3082,0.0459,-0.0180,0.0645,0.9967
2026-05-09T13:03:31.276,-0.0966,0.7349,0.3080,0.0464,-0.0171,0.0642,0.9967
2026-05-09T13:03:31.305,-0.0963,0.7349,0.3078,0.0466,-0.0157,0.0629,0.9968
2026-05-09T13:03:31.334,-0.0961,0.7350,0.3062,0.0445,-0.0195,0.0655,0.9967
2026-05-09T13:03:31.368,-0.0960,0.7350,0.3074,0.0455,-0.0156,0.0615,0.9969
2026-05-09T13:03:31.404,-0.0958,0.7351,0.3068,0.0436,-0.0163,0.0615,0.9970
2026-05-09T13:03:31.440,-0.0957,0.7353,0.3066,0.0439,-0.0161,0.0631,0.9969
2026-05-09T13:03:31.480,-0.0956,0.7354,0.3064,0.0423,-0.0156,0.0620,0.9971
2026-05-09T13:03:31.517,-0.0956,0.7355,0.3062,0.0405,-0.0169,0.0610,0.9972
2026-05-09T13:03:31.546,-0.0957,0.7354,0.3060,0.0393,-0.0180,0.0603,0.9972
2026-05-09T13:03:31.575,-0.0958,0.7355,0.3060,0.0390,-0.0183,0.0605,0.9972
2026-05-09T13:03:31.604,-0.0958,0.7353,0.3058,0.0390,-0.0186,0.0612,0.9972
2026-05-09T13:03:31.636,-0.0956,0.7353,0.3056,0.0386,-0.0189,0.0603,0.9973
2026-05-09T13:03:31.672,-0.0953,0.7351,0.3053,0.0370,-0.0207,0.0574,0.9974
2026-05-09T13:03:31.710,-0.0947,0.7353,0.3048,0.0310,-0.0226,0.0517,0.9979
2026-05-09T13:03:31.744,-0.0945,0.7355,0.3046,0.0287,-0.0212,0.0501,0.9981
2026-05-09T13:03:31.778,-0.0945,0.7361,0.3037,0.0209,-0.0259,0.0445,0.9985
2026-05-09T13:03:31.808,-0.0939,0.7355,0.3044,0.0258,-0.0202,0.0453,0.9984
2026-05-09T13:03:31.838,-0.0940,0.7354,0.3034,0.0135,-0.0248,0.0394,0.9988
2026-05-09T13:03:31.870,-0.0941,0.7355,0.3023,0.0001,-0.0338,0.0340,0.9989
2026-05-09T13:03:31.904,-0.0937,0.7351,0.3036,0.0127,-0.0266,0.0363,0.9989
2026-05-09T13:03:31.942,-0.0939,0.7347,0.3030,0.0091,-0.0291,0.0380,0.9988
2026-05-09T13:03:31.981,-0.0940,0.7347,0.3032,0.0123,-0.0291,0.0391,0.9987
2026-05-09T13:03:32.017,-0.0932,0.7349,0.3009,-0.0014,-0.0361,0.0251,0.9990
2026-05-09T13:03:32.048,-0.0958,0.7348,0.3011,-0.0092,-0.0412,0.0391,0.9983
2026-05-09T13:03:32.080,-0.0951,0.7348,0.3023,0.0033,-0.0381,0.0375,0.9986
2026-05-09T13:03:32.110,-0.0954,0.7349,0.3022,0.0029,-0.0380,0.0382,0.9985
2026-05-09T13:03:32.141,-0.0960,0.7350,0.3027,0.0061,-0.0404,0.0420,0.9983
2026-05-09T13:03:32.172,-0.0969,0.7350,0.3030,0.0092,-0.0432,0.0471,0.9979
2026-05-09T13:03:32.199,-0.0969,0.7351,0.3030,0.0089,-0.0445,0.0457,0.9979
2026-05-09T13:03:32.226,-0.0974,0.7352,0.3030,0.0092,-0.0464,0.0478,0.9977
2026-05-09T13:03:32.252,-0.0979,0.7353,0.3031,0.0095,-0.0481,0.0476,0.9977
2026-05-09T13:03:32.280,-0.0982,0.7353,0.3033,0.0115,-0.0485,0.0504,0.9975
2026-05-09T13:03:32.308,-0.0983,0.7355,0.3032,0.0115,-0.0489,0.0509,0.9974
2026-05-09T13:03:32.337,-0.0985,0.7357,0.3032,0.0115,-0.0492,0.0511,0.9974
2026-05-09T13:03:32.366,-0.0985,0.7358,0.3032,0.0116,-0.0494,0.0513,0.9974
2026-05-09T13:03:32.394,-0.0987,0.7359,0.3032,0.0114,-0.0497,0.0515,0.9974
2026-05-09T13:03:32.421,-0.0990,0.7360,0.3033,0.0114,-0.0506,0.0517,0.9973
2026-05-09T13:03:32.449,-0.0992,0.7361,0.3034,0.0119,-0.0509,0.0523,0.9973
2026-05-09T13:03:32.476,-0.0994,0.7362,0.3033,0.0121,-0.0509,0.0525,0.9972
2026-05-09T13:03:32.531,-0.0995,0.7363,0.3033,0.0120,-0.0509,0.0523,0.9973
2026-05-09T13:03:32.560,-0.0994,0.7362,0.3033,0.0117,-0.0498,0.0503,0.9974
2026-05-09T13:03:32.590,-0.0997,0.7362,0.3031,0.0110,-0.0491,0.0510,0.9974
2026-05-09T13:03:32.621,-0.0995,0.7362,0.3031,0.0109,-0.0499,0.0498,0.9975
2026-05-09T13:03:32.649,-0.0996,0.7361,0.3030,0.0110,-0.0492,0.0498,0.9975
2026-05-09T13:03:32.676,-0.0995,0.7362,0.3030,0.0109,-0.0485,0.0497,0.9975
2026-05-09T13:03:32.709,-0.0993,0.7363,0.3028,0.0106,-0.0472,0.0499,0.9976
2026-05-09T13:03:32.738,-0.0993,0.7361,0.3029,0.0100,-0.0458,0.0495,0.9977
2026-05-09T13:03:32.771,-0.0993,0.7361,0.3028,0.0094,-0.0450,0.0498,0.9977
2026-05-09T13:03:32.796,-0.0992,0.7359,0.3027,0.0091,-0.0439,0.0493,0.9978
2026-05-09T13:03:32.822,-0.0993,0.7357,0.3028,0.0090,-0.0436,0.0491,0.9978
2026-05-09T13:03:32.849,-0.0993,0.7357,0.3027,0.0091,-0.0431,0.0491,0.9978
2026-05-09T13:03:32.875,-0.0992,0.7355,0.3028,0.0090,-0.0428,0.0489,0.9978
2026-05-09T13:03:32.900,-0.0993,0.7355,0.3028,0.0089,-0.0424,0.0486,0.9979
2026-05-09T13:03:32.926,-0.0992,0.7355,0.3028,0.0084,-0.0419,0.0483,0.9979
2026-05-09T13:03:32.953,-0.0992,0.7354,0.3029,0.0078,-0.0412,0.0478,0.9980
2026-05-09T13:03:32.980,-0.0992,0.7354,0.3029,0.0080,-0.0407,0.0479,0.9980
2026-05-09T13:03:33.005,-0.0990,0.7351,0.3029,0.0083,-0.0402,0.0482,0.9980
2026-05-09T13:03:33.031,-0.0990,0.7351,0.3029,0.0085,-0.0398,0.0481,0.9980
2026-05-09T13:03:33.057,-0.0990,0.7349,0.3028,0.0087,-0.0396,0.0477,0.9980
2026-05-09T13:03:33.085,-0.0990,0.7346,0.3028,0.0093,-0.0396,0.0476,0.9980
2026-05-09T13:03:33.115,-0.0991,0.7346,0.3029,0.0097,-0.0397,0.0471,0.9981
