timestamp_iso,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
2026-05-09T13:03:30.141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2026-05-09T13:03:30.503,0.0674,0.7357,0.3010,0.1014,-0.0050,-0.1106,0.9887
2026-05-09T13:03:30.511,0.0667,0.7379,0.3001,0.0933,-0.0098,-0.1103,0.9895
2026-05-09T13:03:30.573,0.0664,0.7392,0.2994,0.0876,-0.0117,-0.1095,0.9901
2026-05-09T13:03:30.614,0.0645,0.7426,0.2977,0.0707,-0.0243,-0.1113,0.9910
2026-05-09T13:03:30.639,0.0631,0.7441,0.2960,0.0553,-0.0313,-0.1072,0.9922
2026-05-09T13:03:30.678,0.0618,0.7445,0.2947,0.0465,-0.0357,-0.0984,0.9934
2026-05-09T13:03:30.716,0.0615,0.7440,0.2941,0.0498,-0.0367,-0.0987,0.9932
2026-05-09T13:03:30.754,0.0602,0.7439,0.2931,0.0479,-0.0415,-0.0955,0.9934
2026-05-09T13:03:30.785,0.0597,0.7437,0.2925,0.0435,-0.0440,-0.0914,0.9939
2026-05-09T13:03:30.814,0.0597,0.7440,0.2923,0.0453,-0.0409,-0.0916,0.9939
2026-05-09T13:03:30.846,0.0598,0.7442,0.2921,0.0434,-0.0423,-0.0935,0.9938
2026-05-09T13:03:30.880,0.0595,0.7445,0.2922,0.0421,-0.0417,-0.0901,0.9942
2026-05-09T13:03:30.912,0.0599,0.7444,0.2923,0.0429,-0.0396,-0.0905,0.9942
2026-05-09T13:03:30.944,0.0598,0.7446,0.2921,0.0409,-0.0374,-0.0892,0.9945
2026-05-09T13:03:30.975,0.0598,0.7451,0.2919,0.0374,-0.0390,-0.0903,0.9944
2026-05-09T13:03:31.002,0.0602,0.7461,0.2908,0.0242,-0.0334,-0.0887,0.9952
2026-05-09T13:03:31.029,0.0599,0.7462,0.2913,0.0275,-0.0347,-0.0861,0.9953
2026-05-09T13:03:31.060,0.0603,0.7465,0.2909,0.0185,-0.0314,-0.0886,0.9954
2026-05-09T13:03:31.098,0.0595,0.7468,0.2910,0.0185,-0.0344,-0.0832,0.9958
2026-05-09T13:03:31.135,0.0598,0.7474,0.2902,0.0095,-0.0294,-0.0795,0.9964
2026-05-09T13:03:31.172,0.0597,0.7468,0.2907,0.0166,-0.0312,-0.0821,0.9960
2026-05-09T13:03:31.213,0.0597,0.7464,0.2906,0.0146,-0.0308,-0.0853,0.9958
2026-05-09T13:03:31.246,0.0602,0.7454,0.2905,0.0168,-0.0279,-0.0905,0.9954
2026-05-09T13:03:31.276,0.0603,0.7452,0.2904,0.0179,-0.0284,-0.0938,0.9950
2026-05-09T13:03:31.305,0.0604,0.7453,0.2900,0.0157,-0.0301,-0.0941,0.9950
2026-05-09T13:03:31.334,0.0599,0.7451,0.2887,0.0055,-0.0271,-0.0883,0.9957
2026-05-09T13:03:31.368,0.0598,0.7446,0.2879,0.0010,-0.0285,-0.0848,0.9960
2026-05-09T13:03:31.404,0.0593,0.7448,0.2875,-0.0031,-0.0348,-0.0715,0.9968
2026-05-09T13:03:31.439,0.0598,0.7446,0.2877,0.0033,-0.0336,-0.0770,0.9965
2026-05-09T13:03:31.480,0.0591,0.7441,0.2871,0.0032,-0.0369,-0.0672,0.9971
2026-05-09T13:03:31.516,0.0595,0.7441,0.2863,-0.0033,-0.0410,-0.0653,0.9970
2026-05-09T13:03:31.546,0.0596,0.7445,0.2861,-0.0031,-0.0423,-0.0669,0.9969
2026-05-09T13:03:31.575,0.0597,0.7446,0.2861,-0.0029,-0.0415,-0.0653,0.9970
2026-05-09T13:03:31.604,0.0599,0.7445,0.2861,-0.0036,-0.0415,-0.0643,0.9971
2026-05-09T13:03:31.636,0.0602,0.7445,0.2861,-0.0035,-0.0396,-0.0624,0.9973
2026-05-09T13:03:31.672,0.0603,0.7446,0.2859,-0.0050,-0.0394,-0.0624,0.9973
2026-05-09T13:03:31.710,0.0606,0.7443,0.2860,-0.0054,-0.0382,-0.0605,0.9974
2026-05-09T13:03:31.744,0.0609,0.7443,0.2859,-0.0039,-0.0371,-0.0616,0.9974
2026-05-09T13:03:31.778,0.0609,0.7441,0.2859,-0.0036,-0.0361,-0.0621,0.9974
2026-05-09T13:03:31.808,0.0608,0.7441,0.2858,-0.0045,-0.0349,-0.0592,0.9976
2026-05-09T13:03:31.838,0.0608,0.7440,0.2858,-0.0052,-0.0340,-0.0582,0.9977
2026-05-09T13:03:31.870,0.0607,0.7438,0.2860,-0.0034,-0.0336,-0.0581,0.9977
2026-05-09T13:03:31.904,0.0604,0.7437,0.2860,-0.0020,-0.0319,-0.0563,0.9979
2026-05-09T13:03:31.942,0.0607,0.7437,0.2860,-0.0013,-0.0296,-0.0561,0.9980
2026-05-09T13:03:31.981,0.0605,0.7437,0.2863,0.0007,-0.0276,-0.0558,0.9981
2026-05-09T13:03:32.017,0.0603,0.7434,0.2864,0.0013,-0.0271,-0.0557,0.9981
2026-05-09T13:03:32.048,0.0604,0.7434,0.2864,0.0033,-0.0260,-0.0589,0.9979
2026-05-09T13:03:32.079,0.0601,0.7433,0.2867,0.0031,-0.0259,-0.0595,0.9979
2026-05-09T13:03:32.110,0.0598,0.7436,0.2867,0.0028,-0.0244,-0.0604,0.9979
2026-05-09T13:03:32.141,0.0593,0.7435,0.2868,0.0006,-0.0246,-0.0604,0.9979
2026-05-09T13:03:32.171,0.0589,0.7439,0.2865,-0.0024,-0.0237,-0.0583,0.9980
2026-05-09T13:03:32.199,0.0586,0.7440,0.2866,-0.0045,-0.0230,-0.0577,0.9981
2026-05-09T13:03:32.226,0.0585,0.7439,0.2868,-0.0042,-0.0227,-0.0581,0.9980
2026-05-09T13:03:32.252,0.0583,0.7439,0.2868,-0.0035,-0.0228,-0.0579,0.9981
2026-05-09T13:03:32.279,0.0582,0.7438,0.2869,-0.0030,-0.0220,-0.0587,0.9980
2026-05-09T13:03:32.308,0.0587,0.7439,0.2871,-0.0022,-0.0202,-0.0626,0.9978
2026-05-09T13:03:32.337,0.0589,0.7438,0.2873,-0.0006,-0.0198,-0.0684,0.9975
2026-05-09T13:03:32.366,0.0586,0.7437,0.2873,-0.0005,-0.0204,-0.0654,0.9977
2026-05-09T13:03:32.394,0.0586,0.7437,0.2874,-0.0004,-0.0200,-0.0648,0.9977
2026-05-09T13:03:32.421,0.0590,0.7435,0.2879,0.0026,-0.0188,-0.0690,0.9974
2026-05-09T13:03:32.449,0.0598,0.7435,0.2884,0.0076,-0.0168,-0.0764,0.9969
2026-05-09T13:03:32.476,0.0595,0.7433,0.2884,0.0063,-0.0169,-0.0748,0.9970
2026-05-09T13:03:32.503,0.0594,0.7434,0.2883,0.0050,-0.0168,-0.0721,0.9972
2026-05-09T13:03:32.531,0.0595,0.7434,0.2883,0.0050,-0.0166,-0.0720,0.9973
2026-05-09T13:03:32.560,0.0597,0.7433,0.2886,0.0066,-0.0159,-0.0726,0.9972
2026-05-09T13:03:32.590,0.0602,0.7430,0.2890,0.0087,-0.0126,-0.0734,0.9972
2026-05-09T13:03:32.621,0.0611,0.7424,0.2898,0.0148,-0.0091,-0.0762,0.9969
2026-05-09T13:03:32.649,0.0618,0.7420,0.2904,0.0198,-0.0073,-0.0787,0.9967
2026-05-09T13:03:32.676,0.0627,0.7418,0.2909,0.0183,-0.0027,-0.0769,0.9969
2026-05-09T13:03:32.709,0.0642,0.7415,0.2919,0.0220,0.0059,-0.0756,0.9969
2026-05-09T13:03:32.738,0.0659,0.7409,0.2930,0.0286,0.0113,-0.0782,0.9965
2026-05-09T13:03:32.771,0.0681,0.7406,0.2940,0.0288,0.0188,-0.0776,0.9964
2026-05-09T13:03:32.796,0.0728,0.7404,0.2960,0.0319,0.0435,-0.0716,0.9960
2026-05-09T13:03:32.822,0.0767,0.7401,0.2971,0.0327,0.0578,-0.0789,0.9947
2026-05-09T13:03:32.849,0.0791,0.7404,0.2976,0.0315,0.0639,-0.0842,0.9939
2026-05-09T13:03:32.875,0.0827,0.7412,0.2986,0.0299,0.0773,-0.0821,0.9932
2026-05-09T13:03:32.900,0.0867,0.7417,0.2993,0.0263,0.0939,-0.0834,0.9917
2026-05-09T13:03:32.926,0.0902,0.7419,0.3002,0.0277,0.1064,-0.0851,0.9903
2026-05-09T13:03:32.953,0.0938,0.7423,0.3009,0.0272,0.1199,-0.0878,0.9885
2026-05-09T13:03:32.979,0.0984,0.7424,0.3013,0.0257,0.1444,-0.0867,0.9854
2026-05-09T13:03:33.005,0.1018,0.7421,0.3016,0.0292,0.1573,-0.0902,0.9830
2026-05-09T13:03:33.031,0.1020,0.7413,0.3019,0.0311,0.1537,-0.0918,0.9834
2026-05-09T13:03:33.057,0.1039,0.7408,0.3022,0.0309,0.1618,-0.0906,0.9822
2026-05-09T13:03:33.085,0.1059,0.7400,0.3023,0.0330,0.1714,-0.0894,0.9806
2026-05-09T13:03:33.115,0.1065,0.7393,0.3026,0.0364,0.1722,-0.0908,0.9802
2026-05-09T13:03:33.145,0.1056,0.7388,0.3028,0.0386,0.1625,-0.0938,0.9815
2026-05-09T13:03:33.173,0.1038,0.7386,0.3030,0.0409,0.1505,-0.0949,0.9832
2026-05-09T13:03:33.202,0.1010,0.7386,0.3028,0.0421,0.1376,-0.0915,0.9854
2026-05-09T13:03:33.229,0.0978,0.7389,0.3023,0.0409,0.1234,-0.0872,0.9877
2026-05-09T13:03:33.256,0.0944,0.7393,0.3014,0.0348,0.1072,-0.0838,0.9901
2026-05-09T13:03:33.283,0.0892,0.7389,0.3010,0.0300,0.0899,-0.0697,0.9931
2026-05-09T13:03:33.311,0.0846,0.7387,0.3001,0.0313,0.0759,-0.0534,0.9952
2026-05-09T13:03:33.338,0.0804,0.7379,0.2987,0.0320,0.0544,-0.0588,0.9963
2026-05-09T13:03:33.365,0.0774,0.7382,0.2967,0.0261,0.0410,-0.0559,0.9973
2026-05-09T13:03:33.391,0.0742,0.7378,0.2956,0.0296,0.0198,-0.0612,0.9975
2026-05-09T13:03:33.421,0.0697,0.7376,0.2939,0.0338,-0.0109,-0.0648,0.9973
2026-05-09T13:03:33.453,0.0651,0.7382,0.2918,0.0329,-0.0356,-0.0542,0.9974
2026-05-09T13:03:33.483,0.0613,0.7391,0.2890,0.0247,-0.0641,-0.0551,0.9961
2026-05-09T13:03:33.512,0.0599,0.7399,0.2880,0.0171,-0.0632,-0.0480,0.9967
2026-05-09T13:03:33.541,0.0601,0.7405,0.2885,0.0155,-0.0470,-0.0358,0.9981
2026-05-09T13:03:33.565,0.0625,0.7416,0.2889,0.0101,-0.0329,-0.0416,0.9985
2026-05-09T13:03:33.590,0.0645,0.7420,0.2898,0.0111,-0.0252,-0.0468,0.9985
2026-05-09T13:03:33.616,0.0662,0.7420,0.2908,0.0135,-0.0217,-0.0520,0.9983
2026-05-09T13:03:33.645,0.0689,0.7422,0.2918,0.0144,-0.0121,-0.0558,0.9983
2026-05-09T13:03:33.675,0.0729,0.7420,0.2933,0.0165,0.0044,-0.0596,0.9981
2026-05-09T13:03:33.703,0.0758,0.7408,0.2947,0.0250,0.0148,-0.0665,0.9974
2026-05-09T13:03:33.732,0.0789,0.7408,0.2947,0.0237,0.0263,-0.0764,0.9964
2026-05-09T13:03:33.763,0.0807,0.7402,0.2950,0.0252,0.0312,-0.0805,0.9959
2026-05-09T13:03:33.792,0.0817,0.7401,0.2948,0.0244,0.0376,-0.0783,0.9959
2026-05-09T13:03:33.822,0.0832,0.7406,0.2941,0.0198,0.0440,-0.0782,0.9958
2026-05-09T13:03:33.850,0.0842,0.7409,0.2936,0.0179,0.0492,-0.0797,0.9954
2026-05-09T13:03:33.877,0.0852,0.7413,0.2930,0.0160,0.0533,-0.0804,0.9952
